code,description
S31637S,puncture wound of abdominal wall without foreign body left flank with penetration into peritoneal cavity sequela
S3163AA,puncture wound of abdominal wall without foreign body unspecified flank with penetration into peritoneal cavity initial encounter
S3163AD,puncture wound of abdominal wall without foreign body unspecified flank with penetration into peritoneal cavity subsequent encounter
S3163AS,puncture wound of abdominal wall without foreign body unspecified flank with penetration into peritoneal cavity sequela
S31646A,puncture wound of abdominal wall with foreign body right flank with penetration into peritoneal cavity initial encounter
S31646D,puncture wound of abdominal wall with foreign body right flank with penetration into peritoneal cavity subsequent encounter
S31646S,puncture wound of abdominal wall with foreign body right flank with penetration into peritoneal cavity sequela
S31647A,puncture wound of abdominal wall with foreign body left flank with penetration into peritoneal cavity initial encounter
S31647D,puncture wound of abdominal wall with foreign body left flank with penetration into peritoneal cavity subsequent encounter
S31647S,puncture wound of abdominal wall with foreign body left flank with penetration into peritoneal cavity sequela
S3164AA,puncture wound of abdominal wall with foreign body unspecified flank with penetration into peritoneal cavity initial encounter
S3164AD,puncture wound of abdominal wall with foreign body unspecified flank with penetration into peritoneal cavity subsequent encounter
S3164AS,puncture wound of abdominal wall with foreign body unspecified flank with penetration into peritoneal cavity sequela
S31656A,open bite of abdominal wall right flank with penetration into peritoneal cavity initial encounter
S31656D,open bite of abdominal wall right flank with penetration into peritoneal cavity subsequent encounter
S31656S,open bite of abdominal wall right flank with penetration into peritoneal cavity sequela
S31657A,open bite of abdominal wall left flank with penetration into peritoneal cavity initial encounter
S31657D,open bite of abdominal wall left flank with penetration into peritoneal cavity subsequent encounter
S31657S,open bite of abdominal wall left flank with penetration into peritoneal cavity sequela
S3165AA,open bite of abdominal wall unspecified flank with penetration into peritoneal cavity initial encounter
S3165AD,open bite of abdominal wall unspecified flank with penetration into peritoneal cavity subsequent encounter
